# Token-cost experiment — raw per-run data. Model claude-fable-5, Claude Code
# v2.1.197, headless (claude -p --output-format json), macOS, Node 24.
# round 1 = Fonderie v0.1.0 + pre-fix skill (2026-07-13)
# round 2 = Fonderie auth 1.1.0 / core 0.1.2 from npm + current skill (2026-07-15)
# round 3  = naive prompt (prompt-naive.txt), claude-opus-4-8, auth 1.1.1 (2026-07-15)
# round 3b = coda: naive prompt re-run on the SHIPPED fix, auth 1.2.0 with
#            default rate limiting (@fonderie/rate-limit), claude-opus-4-8 (2026-07-15)
# Aborted (disclosed, never averaged): two round-1 attempts truncated by a
# session usage limit and rerun from scratch; one round-2 scratch attempt
# (12 turns, $1.11) truncated by a monthly spend limit and discarded; one
# round-3 fonderie attempt truncated by a session limit at 47s and rerun.
run,round,cond,turns,wall_s,input_tokens,output_tokens,cache_write,cache_read,cost_usd,loc,tsc_clean,checklist_12
a1,1,scratch,31,377,2923,22196,32145,724818,2.5074,557,yes,11
b1,1,fonderie,77,699,3838,32157,69839,2792255,5.8359,147,yes,8
a2,2,scratch,43,434,3066,26594,38193,845950,2.9708,626,yes,11
b2,2,fonderie,36,291,2946,16184,43801,1001224,2.7165,103,yes,10
na1,3,scratch-naive,11,115,2451,7438,13185,160877,0.4111,200,yes,4
nb1,3,fonderie-naive,12,75,2650,3765,15823,175593,0.3540,66,yes,11
na2,3,scratch-naive,16,136,2580,9047,15814,172924,0.4843,268,yes,4
nb2,3,fonderie-naive,21,187,2924,9170,26693,444390,0.7336,56,yes,11
na3,3,scratch-naive,11,106,2451,5991,11539,151841,0.3539,207,yes,4
nb3,3,fonderie-naive,15,111,2785,5092,18203,253668,0.4507,65,yes,11
nb4,3b,fonderie-naive-1.2.0,17,104,2650,3765,,,0.5054,66,yes,12
nb5,3b,fonderie-naive-1.2.0,13,95,2785,5092,,,0.3994,55,yes,12
# --- Phase 0 baseline refresh (2026-07-18, BRAIN_PLAN.md) ---
# round 0-baseline = naive prompt (prompt-naive.txt), claude-opus-4-8,
#   ISOLATED workdir ($TMPDIR/fonderie-baseline-runs) so condition A cannot
#   see the repo-root skill or workspace @fonderie/* (bug found + fixed same day).
# checklist_12 = pending (manual scoring, per R4 discipline — not self-graded here).
# Aborted (disclosed, never averaged): bl-a1..bl-b3 (6 runs) contaminated by
#   running inside the repo (A resolved @fonderie) — archived *.contaminated.
#   bl2-b2, bl2-a3, bl2-b3, bl2-b4 hit a Claude Code session usage limit
#   (resets 3:10am America/Toronto); bl2-b4 hung 11min and was killed.
bl2-a1,0-baseline,scratch-naive,11,95,3375,5061,12043,153466,0.3412,117,yes,9
bl2-a2,0-baseline,scratch-naive,14,92,3186,5485,12987,189233,0.3781,113,yes,9
bl2-a4,0-baseline,scratch-naive,10,78,2449,4851,10885,127866,0.3069,120,yes,9
bl2-b1,0-baseline,fonderie-naive,15,85,3383,3714,20367,226444,0.4272,40,yes,12
bl2-b5,0-baseline,fonderie-naive,17,112,2783,6384,27560,290779,0.5951,52,yes,12
bl2-b6,0-baseline,fonderie-naive,20,112,2791,6332,26552,408265,0.6425,50,yes,12
# --- Phase 4 condition C (2026-07-19): brain instead of fat skill, naive auth
#     prompt, claude-opus-4-8. CLASSIFIED NEGATIVE — see FINDINGS-condition-c.md.
#     n=1 per variant; single-run variance is high (34 vs 22 turns), so these are
#     directional, not a powered comparison. c1 = topology brain; ce1 = enriched
#     brain_node available but NEVER CALLED (fix untested — its lower cost is
#     variance, not the intervention). Both cost MORE than fat skill and scratch.
#     cache_write left blank (not the metric of interest here).
c1,4-conditionC,brain-topology,34,,3680,14708,,804619,1.1648,86,yes,pending
ce1,4-conditionC,brain-enriched-uncalled,22,,,10186,,416037,0.8039,56,yes,pending
